id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
2196,Мониторинг наличия на Wildberries,Парсинг данных,Python+Playwright,7,11800,5 000–15 000 ₽
2197,Вёрстка страницы оформления заказа,Вёрстка,Next.js+SCSS,10,9000,5 000–15 000 ₽
2198,Telegram-бот для уведомлений,Автоматизация и скрипты,Bash+Python,1,3500,до 5 000 ₽
2199,Вёрстка страницы оформления заказа,Вёрстка,Next.js+SCSS,3,16000,15 000–30 000 ₽
2200,Лендинг с видео-фоном и анимацией,Лендинг,WordPress,17,5000,5 000–15 000 ₽
2201,Парсинг объявлений о недвижимости,Парсинг данных,Python+Selenium,1,13200,5 000–15 000 ₽
2202,Парсер новостей,Парсинг данных,Python+Playwright,9,7000,5 000–15 000 ₽
2203,API для мобильного приложения,Написание API,NestJS+TypeScript,2,31000,30 000–60 000 ₽
2204,Лендинг для агентства недвижимости,Лендинг,Vue.js,19,5000,5 000–15 000 ₽
2205,Переписать N+1 в ORM,Оптимизация SQL,ClickHouse,10,10000,5 000–15 000 ₽
2206,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Kubernetes+Helm,4,18500,15 000–30 000 ₽
2207,Лендинг для онлайн-курса,Лендинг,HTML+Bootstrap,7,8500,5 000–15 000 ₽
2208,Рекомендательная система,ML-модель,LightGBM,11,17000,15 000–30 000 ₽
2209,API авторизации JWT и OAuth,Написание API,Node.js+Express,19,12400,5 000–15 000 ₽
2210,Докеризация приложения,CI/CD и DevOps,Kubernetes+Helm,8,29000,15 000–30 000 ₽
2211,Дизайн-система и UI-кит,UI/UX Дизайн,Figma+Principle,12,26000,15 000–30 000 ₽
2212,Дизайн email-шаблона,UI/UX Дизайн,Figma,18,7600,5 000–15 000 ₽
2213,UX-аудит сайта,UI/UX Дизайн,Adobe XD,15,6000,5 000–15 000 ₽
2214,Клиентское приложение для барбершопа,Мобильное приложение,Flutter+Firebase,38,35000,30 000–60 000 ₽
2215,Сбор вакансий с hh.ru,Парсинг данных,Python+Playwright,11,12000,5 000–15 000 ₽
2216,REST API для каталога с пагинацией,Написание API,Go+Gin,5,28500,15 000–30 000 ₽
2217,Вёрстка формы wizard,Вёрстка,React+CSS Modules,12,11000,5 000–15 000 ₽
2218,Интернет-магазин одежды,Интернет-магазин,WooCommerce,39,10000,5 000–15 000 ₽
2219,Pixel-perfect вёрстка карточки товара,Вёрстка,Vue.js+CSS,7,4000,до 5 000 ₽
2220,GraphQL API для портала,Написание API,Django REST,21,10500,5 000–15 000 ₽
2221,Страница для сбора заявок,Лендинг,Next.js,6,20000,15 000–30 000 ₽
2222,Ускорение отчётов PostgreSQL,Оптимизация SQL,ClickHouse,2,14500,5 000–15 000 ₽
2223,Переписать N+1 в ORM,Оптимизация SQL,SQL Server,6,6000,5 000–15 000 ₽
2224,Компонент загрузки файлов,UI-компонент,React+TypeScript,5,9000,5 000–15 000 ₽
2225,Вёрстка личного кабинета,Вёрстка,HTML+Tailwind,14,4000,до 5 000 ₽
2226,Дизайн-система и UI-кит,UI/UX Дизайн,Figma+Principle,16,29000,15 000–30 000 ₽
2227,API авторизации JWT и OAuth,Написание API,Node.js+Express,14,4500,до 5 000 ₽
2228,GitHub Actions для деплоя,CI/CD и DevOps,GitLab CI,8,17100,15 000–30 000 ₽
2229,Вёрстка мобильного меню,Вёрстка,Next.js+SCSS,10,10100,5 000–15 000 ₽
2230,Лендинг с видео-фоном и анимацией,Лендинг,HTML+CSS+JS,1,11500,5 000–15 000 ₽
2231,Карусель с лайтбоксом,UI-компонент,Svelte,2,4000,до 5 000 ₽
2232,Страница для сбора заявок,Лендинг,React,8,4500,до 5 000 ₽
2233,Лендинг для детского лагеря,Лендинг,HTML+CSS+JS,18,4000,до 5 000 ₽
2234,Интернет-магазин одежды,Интернет-магазин,Shopify,17,16900,15 000–30 000 ₽
2235,Интернет-аптека с кабинетом,Интернет-магазин,Laravel+Vue,31,57000,30 000–60 000 ₽
2236,Промо-страница для нового продукта,Лендинг,WordPress,7,7400,5 000–15 000 ₽
2237,GraphQL API для портала,Написание API,Kotlin+Ktor,13,13000,5 000–15 000 ₽
2238,Редизайн личного кабинета,UI/UX Дизайн,Figma,6,18000,15 000–30 000 ₽
2239,CRUD API системы задач,Написание API,Go+Gin,20,14000,5 000–15 000 ₽
2240,Лендинг для event-агентства,Лендинг,WordPress,7,8000,5 000–15 000 ₽
2241,Accordion FAQ,UI-компонент,React+Tailwind,5,7200,5 000–15 000 ₽
2242,Платформа онлайн-курсов с оплатой,Fullstack-разработка,Vue.js+Django+PostgreSQL,18,33000,30 000–60 000 ₽
2243,Лендинг для онлайн-курса,Лендинг,HTML+CSS+JS,18,5900,5 000–15 000 ₽
2244,Мультивендорный магазин,Интернет-магазин,Laravel+Vue,25,44500,30 000–60 000 ₽
2245,Адаптивная вёрстка корпоративного сайта,Вёрстка,Next.js+SCSS,8,5700,5 000–15 000 ₽
2246,Дизайн onboarding-flow,UI/UX Дизайн,Figma+Lottie,13,24600,15 000–30 000 ₽
2247,Внутренний инструмент управления задачами,Fullstack-разработка,React+FastAPI+PostgreSQL,49,44000,30 000–60 000 ₽
2248,Парсер товаров с маркетплейса,Парсинг данных,Python+Selenium,12,10500,5 000–15 000 ₽
2249,Индексирование и рефакторинг JOIN,Оптимизация SQL,ClickHouse,1,9000,5 000–15 000 ₽
2250,Каталог товаров с корзиной,Интернет-магазин,Laravel+Vue,17,66000,60 000–120 000 ₽
2251,Детекция аномалий,ML-модель,LightGBM,13,24000,15 000–30 000 ₽
2252,Drag-and-drop список,UI-компонент,React+Tailwind,10,3000,до 5 000 ₽
2253,Каталог товаров с корзиной,Интернет-магазин,Django+React,32,85800,60 000–120 000 ₽
2254,Переписать N+1 в ORM,Оптимизация SQL,SQL Server,5,9400,5 000–15 000 ₽
2255,Докеризация приложения,CI/CD и DevOps,Ansible,2,10000,5 000–15 000 ₽
2256,Парсинг объявлений о недвижимости,Парсинг данных,Python+Selenium,4,6800,5 000–15 000 ₽
2257,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+Bootstrap 5,1,5500,5 000–15 000 ₽
2258,Вёрстка страницы оформления заказа,Вёрстка,Next.js+SCSS,14,10300,5 000–15 000 ₽
2259,Каталог с корзиной на Flutter,Мобильное приложение,Flutter,29,49000,30 000–60 000 ₽
2260,MVP приложения доставки еды,Мобильное приложение,React Native+TS,27,28600,15 000–30 000 ₽
2261,Парсинг объявлений о недвижимости,Парсинг данных,Scrapy,14,8000,5 000–15 000 ₽
2262,Каталог товаров с корзиной,Интернет-магазин,React+Node.js,14,41500,30 000–60 000 ₽
2263,Страница для сбора заявок,Лендинг,HTML+Bootstrap,3,3800,до 5 000 ₽
2264,Анализ тональности отзывов,ML-модель,PyTorch,6,34700,30 000–60 000 ₽
2265,Клиентское приложение для барбершопа,Мобильное приложение,React Native+Redux,51,67000,60 000–120 000 ₽
2266,Вёрстка формы wizard,Вёрстка,Vue.js+CSS,12,11900,5 000–15 000 ₽
2267,UX-аудит сайта,UI/UX Дизайн,Figma,12,10800,5 000–15 000 ₽
2268,Лендинг для онлайн-курса,Лендинг,HTML+Bootstrap,17,5500,5 000–15 000 ₽
2269,Вёрстка мобильного меню,Вёрстка,HTML+Tailwind,4,5600,5 000–15 000 ₽
2270,Магазин электроники с фильтрами,Интернет-магазин,1C-Bitrix,24,38000,30 000–60 000 ₽
2271,Вёрстка формы wizard,Вёрстка,HTML+Bootstrap 5,9,5000,5 000–15 000 ₽
2272,Лендинг для event-агентства,Лендинг,Vue.js,20,11000,5 000–15 000 ₽
2273,Full-text search PostgreSQL,Оптимизация SQL,MySQL,10,5000,5 000–15 000 ₽
2274,UX-аудит сайта,UI/UX Дизайн,Figma+Lottie,21,25000,15 000–30 000 ₽
2275,Дизайн onboarding-flow,UI/UX Дизайн,Figma,21,14600,5 000–15 000 ₽
2276,Лендинг для службы доставки,Лендинг,Vue.js,7,7600,5 000–15 000 ₽
2277,CRUD API системы задач,Написание API,FastAPI+PostgreSQL,16,19000,15 000–30 000 ₽
2278,Лендинг для event-агентства,Лендинг,Next.js,18,16400,15 000–30 000 ₽
2279,Система бронирования,Fullstack-разработка,React+Kotlin+PostgreSQL,25,110500,60 000–120 000 ₽
2280,Рекомендательная система,ML-модель,scikit-learn+pandas,3,16000,15 000–30 000 ₽
2281,CRM для отдела продаж (MVP),Fullstack-разработка,React+Spring Boot,19,107000,60 000–120 000 ₽
2282,Мониторинг сервера с алертами,Автоматизация и скрипты,n8n,9,2000,до 5 000 ₽
2283,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Ansible,4,14000,5 000–15 000 ₽
2284,Вёрстка дашборда аналитики,Вёрстка,HTML+Bootstrap 5,2,9500,5 000–15 000 ₽
2285,Страница для сбора заявок,Лендинг,HTML+Bootstrap,21,4000,до 5 000 ₽
2286,UX-аудит сайта,UI/UX Дизайн,Figma+FigJam,6,11000,5 000–15 000 ₽
2287,Лендинг для онлайн-курса,Лендинг,Next.js,9,19500,15 000–30 000 ₽
2288,Webhook-интеграция с Telegram,Написание API,Django REST,3,9000,5 000–15 000 ₽
2289,Планировщик с Cron,Автоматизация и скрипты,Python+openpyxl,6,7200,5 000–15 000 ₽
2290,Webhook-интеграция с Telegram,Написание API,FastAPI+PostgreSQL,7,20000,15 000–30 000 ₽
2291,Форма с валидацией,UI-компонент,React+TypeScript,9,8000,5 000–15 000 ₽
2292,Лендинг для фитнес-клуба,Лендинг,HTML+Bootstrap,18,4000,до 5 000 ₽
2293,Редизайн личного кабинета,UI/UX Дизайн,Adobe XD,18,12300,5 000–15 000 ₽
2294,UX-аудит сайта,UI/UX Дизайн,Figma,18,16000,15 000–30 000 ₽
2295,Каталог с корзиной на Flutter,Мобильное приложение,Flutter+Firebase,56,63000,60 000–120 000 ₽
2296,Учебное приложение с карточками,Мобильное приложение,Flutter+Firebase,16,48000,30 000–60 000 ₽
2297,Вёрстка главной страницы по макету Figma,Вёрстка,Next.js+SCSS,8,10000,5 000–15 000 ₽
2298,Докеризация приложения,CI/CD и DevOps,Ansible,8,12500,5 000–15 000 ₽
2299,Лендинг с видео-фоном и анимацией,Лендинг,WordPress,20,8500,5 000–15 000 ₽
2300,Вёрстка страницы оформления заказа,Вёрстка,React+CSS Modules,9,9000,5 000–15 000 ₽
2301,Nginx+SSL+reverse proxy,CI/CD и DevOps,Kubernetes+Helm,7,13500,5 000–15 000 ₽
2302,Kubernetes-манифесты,CI/CD и DevOps,Docker+GitHub Actions,10,6100,5 000–15 000 ₽
2303,Лендинг для медицинской клиники,Лендинг,WordPress,12,9000,5 000–15 000 ₽
2304,Лендинг для детского лагеря,Лендинг,Vue.js,11,6300,5 000–15 000 ₽
2305,Форма с валидацией,UI-компонент,React+Storybook,10,10000,5 000–15 000 ₽
2306,Ускорение отчётов PostgreSQL,Оптимизация SQL,MySQL,7,6400,5 000–15 000 ₽
2307,Лендинг для онлайн-курса,Лендинг,WordPress,19,10000,5 000–15 000 ₽
2308,Вёрстка личного кабинета,Вёрстка,Vue.js+CSS,6,8000,5 000–15 000 ₽
2309,Адаптивная вёрстка корпоративного сайта,Вёрстка,Vue.js+CSS,11,5000,5 000–15 000 ₽
2310,Вёрстка формы wizard,Вёрстка,HTML+Tailwind,5,3000,до 5 000 ₽
2311,Лендинг с видео-фоном и анимацией,Лендинг,WordPress,8,9000,5 000–15 000 ₽
2312,Промо-страница для нового продукта,Лендинг,HTML+Bootstrap,1,6600,5 000–15 000 ₽
2313,Лендинг для детского лагеря,Лендинг,HTML+CSS+JS,6,3000,до 5 000 ₽
2314,React-таблица с сортировкой,UI-компонент,React+Storybook,6,12000,5 000–15 000 ₽
2315,Дизайн дашборда аналитики,UI/UX Дизайн,Figma+Principle,11,8000,5 000–15 000 ₽
2316,Карусель с лайтбоксом,UI-компонент,React+Tailwind,6,11500,5 000–15 000 ₽
2317,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+FigJam,4,19000,15 000–30 000 ₽
2318,Компонент загрузки файлов,UI-компонент,React+Storybook,6,10500,5 000–15 000 ₽
2319,Лендинг для медицинской клиники,Лендинг,Vue.js,16,6000,5 000–15 000 ₽
2320,Клиентское приложение для барбершопа,Мобильное приложение,Kotlin (Android),57,87000,60 000–120 000 ₽
2321,Платформа онлайн-курсов с оплатой,Fullstack-разработка,React+FastAPI+PostgreSQL,36,49000,30 000–60 000 ₽
2322,Страница для сбора заявок,Лендинг,Vue.js,11,10500,5 000–15 000 ₽
2323,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+FigJam,19,17000,15 000–30 000 ₽
2324,Автобэкапы PostgreSQL,CI/CD и DevOps,Ansible,1,9000,5 000–15 000 ₽
2325,Kubernetes-манифесты,CI/CD и DevOps,GitLab CI,3,11500,5 000–15 000 ₽
2326,Вёрстка мобильного меню,Вёрстка,React+CSS Modules,5,12000,5 000–15 000 ₽
2327,API авторизации JWT и OAuth,Написание API,Go+Gin,10,26400,15 000–30 000 ₽
2328,Drag-and-drop список,UI-компонент,React+Storybook,3,11000,5 000–15 000 ₽
2329,Webhook-интеграция с Telegram,Написание API,Node.js+Express,21,15000,15 000–30 000 ₽
2330,API для мобильного приложения,Написание API,NestJS+TypeScript,11,16000,15 000–30 000 ₽
2331,API управления заказами,Написание API,Kotlin+Ktor,16,24500,15 000–30 000 ₽
2332,Приложение учёта финансов,Мобильное приложение,Flutter+Firebase,37,50500,30 000–60 000 ₽
2333,Дизайн email-шаблона,UI/UX Дизайн,Figma+FigJam,8,25000,15 000–30 000 ₽
2334,Webhook-интеграция с Telegram,Написание API,FastAPI+PostgreSQL,9,18000,15 000–30 000 ₽
2335,Вёрстка страницы оформления заказа,Вёрстка,Next.js+SCSS,1,15000,15 000–30 000 ₽
2336,GraphQL API для портала,Написание API,Go+Gin,15,24900,15 000–30 000 ₽
2337,Компонент загрузки файлов,UI-компонент,React+Tailwind,5,4000,до 5 000 ₽
2338,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+CSS+BEM,5,7000,5 000–15 000 ₽
2339,Автобэкапы PostgreSQL,CI/CD и DevOps,GitLab CI,6,15500,15 000–30 000 ₽
2340,Вёрстка дашборда аналитики,Вёрстка,Vue.js+CSS,6,10000,5 000–15 000 ₽
2341,Рекомендательная система,ML-модель,TensorFlow,8,10000,5 000–15 000 ₽
2342,Ювелирный интернет-магазин,Интернет-магазин,1C-Bitrix,45,23500,15 000–30 000 ₽
2343,Каталог с корзиной на Flutter,Мобильное приложение,Flutter+Firebase,15,39500,30 000–60 000 ₽
2344,Страница для сбора заявок,Лендинг,Next.js,1,20500,15 000–30 000 ₽
2345,Лендинг для фитнес-клуба,Лендинг,HTML+Bootstrap,4,3500,до 5 000 ₽
2346,Автовыгрузка данных в Excel,Автоматизация и скрипты,Python+openpyxl,8,8000,5 000–15 000 ₽
2347,UX-аудит сайта,UI/UX Дизайн,Figma+Lottie,19,20000,15 000–30 000 ₽
2348,Лендинг для event-агентства,Лендинг,WordPress,1,13000,5 000–15 000 ₽
2349,Оптимизация запроса аналитики,Оптимизация SQL,PostgreSQL,6,6000,5 000–15 000 ₽
2350,Каталог с корзиной на Flutter,Мобильное приложение,Flutter,36,36000,30 000–60 000 ₽
2351,Клиентское приложение для барбершопа,Мобильное приложение,React Native+Redux,22,68000,60 000–120 000 ₽
2352,Дашборд с графиками,UI-компонент,Svelte,2,6900,5 000–15 000 ₽
2353,Одностраничный сайт для юридических услуг,Лендинг,WordPress,15,8000,5 000–15 000 ₽
2354,Вёрстка личного кабинета,Вёрстка,HTML+Tailwind,12,2000,до 5 000 ₽
2355,Лендинг для онлайн-курса,Лендинг,Next.js,11,18000,15 000–30 000 ₽
2356,Дизайн email-шаблона,UI/UX Дизайн,Figma,7,11500,5 000–15 000 ₽
2357,Вёрстка страницы оформления заказа,Вёрстка,HTML+Tailwind,10,5000,5 000–15 000 ₽
2358,Прогнозирование стоимости задач,ML-модель,LightGBM,19,10900,5 000–15 000 ₽
2359,Парсер товаров с маркетплейса,Парсинг данных,Python+BeautifulSoup,4,4000,до 5 000 ₽
2360,Вёрстка личного кабинета,Вёрстка,HTML+Bootstrap 5,2,4000,до 5 000 ₽
2361,Дата-пикер с диапазоном,UI-компонент,Angular,10,7100,5 000–15 000 ₽
2362,GraphQL API для портала,Написание API,Django REST,12,11400,5 000–15 000 ₽
2363,Сбор вакансий с hh.ru,Парсинг данных,Python+BeautifulSoup,5,10000,5 000–15 000 ₽
2364,Вёрстка дашборда аналитики,Вёрстка,HTML+Tailwind,3,3000,до 5 000 ₽
2365,Лендинг с видео-фоном и анимацией,Лендинг,React,8,11000,5 000–15 000 ₽
2366,Многопользовательский чат,Fullstack-разработка,Next.js+Node.js+MongoDB,33,34000,30 000–60 000 ₽
2367,Магазин детских товаров,Интернет-магазин,WooCommerce,17,21000,15 000–30 000 ₽
2368,Дизайн дашборда аналитики,UI/UX Дизайн,Sketch,4,20000,15 000–30 000 ₽
2369,Accordion FAQ,UI-компонент,React+Storybook,2,14000,5 000–15 000 ₽
2370,Оптимизация агрегатов ClickHouse,Оптимизация SQL,MySQL,8,7000,5 000–15 000 ₽
2371,Индексирование и рефакторинг JOIN,Оптимизация SQL,ClickHouse,10,13300,5 000–15 000 ₽
2372,Вёрстка дашборда аналитики,Вёрстка,Next.js+SCSS,1,14500,5 000–15 000 ₽
2373,Карусель с лайтбоксом,UI-компонент,Svelte,4,4500,до 5 000 ₽
2374,Лендинг для детского лагеря,Лендинг,WordPress,13,6500,5 000–15 000 ₽
2375,Лендинг для службы доставки,Лендинг,Vue.js,13,7500,5 000–15 000 ₽
2376,Вёрстка личного кабинета,Вёрстка,HTML+CSS+BEM,10,3100,до 5 000 ₽
2377,Accordion FAQ,UI-компонент,React+Tailwind,4,3700,до 5 000 ₽
2378,CRUD API системы задач,Написание API,Kotlin+Ktor,20,12500,5 000–15 000 ₽
2379,Каталог с корзиной на Flutter,Мобильное приложение,Kotlin (Android),51,84000,60 000–120 000 ₽
2380,Маркетплейс для мастеров,Интернет-магазин,React+Node.js,23,54200,30 000–60 000 ₽
2381,Приложение трекинга тренировок,Мобильное приложение,React Native+Redux,39,60500,60 000–120 000 ₽
2382,REST API для каталога с пагинацией,Написание API,NestJS+TypeScript,7,20000,15 000–30 000 ₽
2383,API для мобильного приложения,Написание API,Django REST,18,18000,15 000–30 000 ₽
2384,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+Bootstrap 5,12,2900,до 5 000 ₽
2385,Одностраничный сайт для юридических услуг,Лендинг,React,3,9400,5 000–15 000 ₽
2386,MVP SaaS с подпиской,Fullstack-разработка,Next.js+Node.js+MongoDB,32,60500,60 000–120 000 ₽
2387,Лендинг для детского лагеря,Лендинг,React,4,18000,15 000–30 000 ₽
2388,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+CSS+BEM,14,7000,5 000–15 000 ₽
2389,UX-аудит сайта,UI/UX Дизайн,Figma,5,9800,5 000–15 000 ₽
2390,Вёрстка мобильного меню,Вёрстка,HTML+Tailwind,10,7400,5 000–15 000 ₽
2391,Дизайн email-шаблона,UI/UX Дизайн,Figma+FigJam,19,16500,15 000–30 000 ₽
2392,Маркетплейс для мастеров,Интернет-магазин,1C-Bitrix,12,15800,15 000–30 000 ₽
2393,Telegram-бот для уведомлений,Автоматизация и скрипты,Bash+Python,4,5500,5 000–15 000 ₽
2394,Вёрстка страницы оформления заказа,Вёрстка,HTML+CSS+BEM,8,5000,5 000–15 000 ₽
2395,Ускорение отчётов PostgreSQL,Оптимизация SQL,ClickHouse,5,13500,5 000–15 000 ₽
2396,Сбор отзывов с Google Maps,Парсинг данных,Scrapy,9,8000,5 000–15 000 ₽
2397,CRM для отдела продаж (MVP),Fullstack-разработка,Next.js+Supabase,48,52800,30 000–60 000 ₽
2398,Карусель с лайтбоксом,UI-компонент,Angular,6,2500,до 5 000 ₽
2399,Вёрстка email-шаблона,Вёрстка,Next.js+SCSS,12,6000,5 000–15 000 ₽
2400,Докеризация приложения,CI/CD и DevOps,Terraform+AWS,5,23500,15 000–30 000 ₽
2401,Telegram-бот для уведомлений,Автоматизация и скрипты,Python+aiogram,6,8500,5 000–15 000 ₽
2402,Вёрстка личного кабинета,Вёрстка,React+CSS Modules,6,11000,5 000–15 000 ₽
2403,Дизайн email-шаблона,UI/UX Дизайн,Adobe XD,6,13000,5 000–15 000 ₽
2404,Лендинг для event-агентства,Лендинг,HTML+Bootstrap,9,7000,5 000–15 000 ₽
2405,Приложение трекинга тренировок,Мобильное приложение,Kotlin (Android),30,85900,60 000–120 000 ₽
2406,Accordion FAQ,UI-компонент,Angular,4,9000,5 000–15 000 ₽
2407,Вёрстка формы wizard,Вёрстка,Vue.js+CSS,1,7000,5 000–15 000 ₽
2408,Промо-страница для нового продукта,Лендинг,HTML+CSS+JS,6,5000,5 000–15 000 ₽
2409,API управления заказами,Написание API,Node.js+Express,6,15000,15 000–30 000 ₽
2410,Вёрстка страницы оформления заказа,Вёрстка,HTML+Tailwind,4,6000,5 000–15 000 ₽
2411,Вёрстка email-шаблона,Вёрстка,HTML+Tailwind,4,8000,5 000–15 000 ₽
2412,Анализ тональности отзывов,ML-модель,PyTorch,21,26000,15 000–30 000 ₽
2413,Детекция аномалий,ML-модель,Hugging Face,11,27000,15 000–30 000 ₽
2414,Миграция на новый VPS,CI/CD и DevOps,Kubernetes+Helm,7,20000,15 000–30 000 ₽
2415,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Tailwind,2,9000,5 000–15 000 ₽
2416,Лендинг с видео-фоном и анимацией,Лендинг,HTML+CSS+JS,3,5000,5 000–15 000 ₽
2417,Скрипт обработки изображений,Автоматизация и скрипты,Python+openpyxl,5,4000,до 5 000 ₽
2418,Вёрстка мобильного меню,Вёрстка,HTML+Bootstrap 5,4,6500,5 000–15 000 ₽
2419,GitHub Actions для деплоя,CI/CD и DevOps,Docker Compose,2,13000,5 000–15 000 ₽
2420,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+Bootstrap 5,1,5800,5 000–15 000 ₽
2421,Ювелирный интернет-магазин,Интернет-магазин,React+Node.js,30,59000,30 000–60 000 ₽
2422,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,Python+aiogram,6,6500,5 000–15 000 ₽
2423,Страница для сбора заявок,Лендинг,React,7,16500,15 000–30 000 ₽
2424,Парсинг объявлений о недвижимости,Парсинг данных,Scrapy,5,8000,5 000–15 000 ₽
2425,Nginx+SSL+reverse proxy,CI/CD и DevOps,Ansible,5,10600,5 000–15 000 ₽
2426,Сбор отзывов с Google Maps,Парсинг данных,Python+Playwright,2,10000,5 000–15 000 ₽
2427,Прогноз оттока клиентов,ML-модель,scikit-learn+pandas,19,18000,15 000–30 000 ₽
2428,Редизайн личного кабинета,UI/UX Дизайн,Sketch,12,11500,5 000–15 000 ₽
2429,REST API для каталога с пагинацией,Написание API,Spring Boot,3,23000,15 000–30 000 ₽
2430,Ювелирный интернет-магазин,Интернет-магазин,React+Node.js,39,48500,30 000–60 000 ₽
2431,Вёрстка личного кабинета,Вёрстка,HTML+Tailwind,1,5000,5 000–15 000 ₽
2432,Интернет-аптека с кабинетом,Интернет-магазин,Django+React,44,51000,30 000–60 000 ₽
2433,Внутренний инструмент управления задачами,Fullstack-разработка,React+Spring Boot,59,113000,60 000–120 000 ₽
2434,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+Lottie,14,11400,5 000–15 000 ₽
2435,Ускорение отчётов PostgreSQL,Оптимизация SQL,MySQL,10,3900,до 5 000 ₽
2436,Kubernetes-манифесты,CI/CD и DevOps,Terraform+AWS,8,15000,15 000–30 000 ₽
2437,Приложение трекинга тренировок,Мобильное приложение,Flutter,31,62300,60 000–120 000 ₽
2438,Дизайн дашборда аналитики,UI/UX Дизайн,Figma+Principle,19,24900,15 000–30 000 ₽
2439,CRM для отдела продаж (MVP),Fullstack-разработка,React+Kotlin+PostgreSQL,34,79200,60 000–120 000 ₽
2440,Маркетплейс для мастеров,Интернет-магазин,1C-Bitrix,37,28100,15 000–30 000 ₽
2441,API интеграции с 1С,Написание API,Spring Boot,8,23500,15 000–30 000 ₽
2442,Магазин детских товаров,Интернет-магазин,React+Node.js,18,47000,30 000–60 000 ₽
2443,UX-аудит сайта,UI/UX Дизайн,Figma+Principle,13,14800,5 000–15 000 ₽
2444,Компонент загрузки файлов,UI-компонент,Vue.js,10,7500,5 000–15 000 ₽
2445,Дизайн дашборда аналитики,UI/UX Дизайн,Figma+Principle,9,9400,5 000–15 000 ₽
2446,MVP SaaS с подпиской,Fullstack-разработка,React+Spring Boot,46,50000,30 000–60 000 ₽
2447,Сбор отзывов с Google Maps,Парсинг данных,Python+Selenium,11,11000,5 000–15 000 ₽
2448,Автобэкапы PostgreSQL,CI/CD и DevOps,Docker Compose,8,9000,5 000–15 000 ₽
2449,Лендинг с видео-фоном и анимацией,Лендинг,WordPress,14,10000,5 000–15 000 ₽
2450,Вёрстка дашборда аналитики,Вёрстка,Next.js+SCSS,4,15000,15 000–30 000 ₽
2451,Лендинг для онлайн-курса,Лендинг,Vue.js,13,8000,5 000–15 000 ₽
2452,Сбор вакансий с hh.ru,Парсинг данных,Python+Selenium,3,7000,5 000–15 000 ₽
2453,Одностраничный сайт для юридических услуг,Лендинг,React,3,7500,5 000–15 000 ₽
2454,Мультивендорный магазин,Интернет-магазин,1C-Bitrix,37,47000,30 000–60 000 ₽
2455,Маркетплейс для мастеров,Интернет-магазин,React+Node.js,44,50500,30 000–60 000 ₽
2456,GraphQL API для портала,Написание API,Kotlin+Ktor,16,20000,15 000–30 000 ₽
2457,Маркетплейс для мастеров,Интернет-магазин,1C-Bitrix,35,19000,15 000–30 000 ₽
2458,Мониторинг наличия на Wildberries,Парсинг данных,Python+Playwright,12,5100,5 000–15 000 ₽
2459,Вёрстка главной страницы по макету Figma,Вёрстка,Next.js+SCSS,7,9000,5 000–15 000 ₽
2460,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+Principle,5,27500,15 000–30 000 ₽
2461,Адаптивная вёрстка корпоративного сайта,Вёрстка,Next.js+SCSS,5,9500,5 000–15 000 ₽
2462,Лендинг для онлайн-курса,Лендинг,HTML+CSS+JS,10,10000,5 000–15 000 ₽
2463,Дизайн-система и UI-кит,UI/UX Дизайн,Figma,17,12300,5 000–15 000 ₽
2464,Интернет-аптека с кабинетом,Интернет-магазин,Laravel+Vue,20,49200,30 000–60 000 ₽
2465,GraphQL API для портала,Написание API,Django REST,5,10500,5 000–15 000 ₽
2466,Парсер товаров с маркетплейса,Парсинг данных,Python+Playwright,14,11200,5 000–15 000 ₽
2467,Приложение для записи к врачу,Мобильное приложение,React Native+Redux,50,48000,30 000–60 000 ₽
2468,Вёрстка дашборда аналитики,Вёрстка,HTML+Bootstrap 5,1,4000,до 5 000 ₽
2469,Лендинг для онлайн-курса,Лендинг,HTML+CSS+JS,12,6700,5 000–15 000 ₽
2470,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+Tailwind,10,4000,до 5 000 ₽
2471,Продающий лендинг для SaaS,Лендинг,Next.js,15,10600,5 000–15 000 ₽
2472,API для мобильного приложения,Написание API,Go+Gin,19,26500,15 000–30 000 ₽
2473,Nginx+SSL+reverse proxy,CI/CD и DevOps,Kubernetes+Helm,9,16000,15 000–30 000 ₽
2474,Лендинг для медицинской клиники,Лендинг,Next.js,20,9500,5 000–15 000 ₽
2475,Интеграция Bitrix24,Автоматизация и скрипты,Python+aiogram,8,8500,5 000–15 000 ₽
2476,API авторизации JWT и OAuth,Написание API,Go+Gin,20,13800,5 000–15 000 ₽
